SA2_MAIN16,SA2_NAME16,Chinese,French,Italian,Italian Food,Chinese Food,Japanese Food,French Food
208011173,Sandringham - Black Rock,3.346490475,1.35575768,6.847434357,13.25,1.51,8.43,15.36
208021174,Bentleigh - McKinnon,19.43538699,1.5702763,10.80315771,12.17,1.52,7.83,13.91
208021176,Carnegie,22.91916938,1.312853956,5.912133173,14.19,1.4,13.02,16.05
208021177,Caulfield - North,11.85858933,2.411189291,4.350437618,11.26,1.83,9.16,13.61
208021178,Caulfield - South,7.310794577,1.724729707,4.796636348,7.47,2.3,8.05,16.67
208021179,Elsternwick,3.535266861,1.029689377,4.444825811,13.18,1.29,6.43,10.29
208021180,Hughesdale,8.134546079,0.471940964,3.192037069,24.24,1.52,3.03,19.7
208021181,Murrumbeena,7.551055432,0.755105543,4.359018363,14.29,3.97,8.73,14.29
208021182,Ormond - Glen Huntly,13.1371203,0.840912991,3.595332075,10.75,1.87,8.41,17.29
208021426,Bentleigh East (North),12.11601167,0.729363309,6.95898404,10.6,1.32,5.96,19.21
208021427,Bentleigh East (South),6.641496482,0.883816715,8.08306161,11.85,1.48,7.41,19.26
208031183,Aspendale Gardens - Waterways,7.8513815,0.600652137,4.513471769,10.71,0,7.14,14.29
208031184,Braeside,0.145872662,0,0,3.03,0,7.07,12.12
208031185,Carrum - Patterson Lakes,3.56958984,0.634975116,5.114123906,8.97,0,10.26,8.97
208031186,Chelsea - Bonbeach,2.720096104,1.227046508,5.17418912,13.08,1.87,6.54,20.56
208031187,Chelsea Heights,1.604599279,0.403295006,2.239574395,10.64,2.13,12.77,14.89
208031188,Cheltenham - Highett (East),11.36948687,1.381499914,10.40844345,13.33,1.67,7.92,15
208031189,Edithvale - Aspendale,2.093701733,0.652136605,5.577484126,14.18,1.49,2.99,26.12
208031190,Mentone,5.225673588,1.046850867,6.126651793,15.15,0,8.33,14.39
208031191,Moorabbin - Heatherton,6.0322636,0.489102454,4.916766775,13.59,0.77,8.46,10.51
208031192,Moorabbin Airport,0,0,0,34.62,0,7.69,15.38
208031193,Mordialloc - Parkdale,5.465934443,1.544534066,9.558949717,13.46,0.7,8.12,17.4
208041194,Malvern - Glen Iris,10.9919341,1.510211086,7.688347349,11.56,1.23,7.4,17.72
208041195,Malvern East,23.49407929,1.664664493,10.15960185,12.84,2.17,8.79,13.13
